age,gender,marital_status,education_level,years_experience,skill_score,certifications,job_role,department,job_level,employment_type,remote_status,performance_score,projects_completed,overtime_hours,company_size,location,monthly_salary
29,Male,Single,MSc,9.976887596507714,9,1,Data Analyst,IT,Senior,Permanent,Onsite,3,5,0,Large,Lagos,1279616
41,Female,Married,MSc,8.506098991758012,6,5,Data Analyst,Operations,Mid,Permanent,Hybrid,4,2,16.5,Large,Johannesburg,1082124
44,Female,Single,PhD,5.516641899016719,8,1,Data Scientist,Product,Mid,Permanent,Remote,4,7,11.7,Medium,Johannesburg,1086762
54,Male,Married,Bachelor,8.304906942881182,1,0,Data Analyst,Data,Junior,Permanent,Onsite,3,4,9.6,Large,Lagos,733446
42,Male,Married,BSc,9.963315903319671,6,1,DevOps Engineer,Product,Mid,Permanent,Hybrid,2,0,8.4,Medium,Lagos,1133740
23,Male,Single,Master,9.332650849931213,1,2,Product Manager,Product,Senior,Permanent,Onsite,1,2,8.3,Medium,Kigali,1100068
32,Male,Married,PhD,15.634002423665194,3,5,Data Analyst,IT,Senior,Permanent,Onsite,4,4,13.8,Medium,Lagos,1342797
48,Female,Single,PhD,7.509926351174741,2,4,Software Engineer,IT,Mid,Permanent,Hybrid,3,8,9,Medium,Johannesburg,712829
50,Male,Single,Bachelor,7.107620733161306,2,1,DevOps Engineer,IT,Senior,Permanent,Onsite,2,3,13.4,Small,Nairobi,1174769
46,Male,Married,bachelor ,6.2748048573209,4,1,Data Scientist,Security,Junior,Contract,Hybrid,2,6,7.6,Small,Kigali,557048
41,Female,Single,Master,9.211915348583553,7,4,Data Scientist,Engineering,Mid,Contract,Hybrid,2,4,13,Large,Johannesburg,1200433
48,Male,Single,bachelor ,6.871766954056209,3,4,DevOps Engineer,Engineering,Mid,Permanent,Remote,5,6,8.8,Large,Johannesburg,981568
46,Female,Married,bachelor ,7.052836580259068,7,0,Product Manager,IT,Junior,Permanent,Onsite,2,6,9.9,Small,Johannesburg,818245
53,Male,Married,BSc,7.071319440025027,9,1,Data Scientist,Product,Senior,Permanent,Onsite,5,3,0.7,Large,Nairobi,1205743
41,Female,Single,MSc,6.461565722039627,4,2,Data Scientist,Data,Senior,Permanent,Onsite,3,6,15.7,Small,Nairobi,1070836
55,Male,Single,high school ,4.565308791390369,7,2,IT Support,Data,Senior,Contract,Onsite,2,8,10.4,Small,Johannesburg,929596
54,Female,Married,high school ,8.672426152787644,1,0,IT Support,Product,Junior,Permanent,Hybrid,3,8,20.6,Large,Lagos,667556
38,Male,Married,ph.d,5.859809739933525,2,1,IT Support,Security,Junior,Permanent,Hybrid,4,8,17.5,Medium,Lagos,352431
31,Male,Single,bachelor ,9.454718011281775,8,4,Product Manager,Operations,Mid,Permanent,Remote,2,5,8.2,Medium,Johannesburg,1171293
43,Female,Married,BSc,7.443070515711988,3,2,DevOps Engineer,Product,Mid,Permanent,Hybrid,5,3,10.4,Medium,Lagos,1038042
42,Male,Married,Bachelor,5.4537004946838135,5,5,Data Scientist,Data,Mid,Permanent,Hybrid,4,4,9.8,Small,Nairobi,748353
37,Female,Married,high school ,13.259321620140259,8,5,Data Scientist,Operations,Junior,Permanent,Onsite,3,6,4.5,Large,Johannesburg,1067027
25,Male,Married,PhD,6.590749657812094,5,1,Data Scientist,Security,Mid,Permanent,Onsite,1,6,4.5,Large,Johannesburg,812125
31,Male,Married,bachelor ,9.491292058247225,1,0,Data Analyst,Security,Senior,Permanent,Hybrid,3,8,12.9,Medium,Lagos,939579
50,Female,Single,High School,4.200068376031595,2,0,Data Scientist,Operations,Mid,Permanent,Remote,4,7,10.4,Large,Johannesburg,693965
35,Female,Single,Master,,10,5,Data Scientist,Data,Mid,Permanent,Remote,4,6,8.1,Small,Johannesburg,1028724
47,Female,Married,Master,4.732003329291812,3,4,DevOps Engineer,Operations,Mid,Permanent,Remote,4,5,8.1,Large,Lagos,787611
55,Female,Divorced,high school ,,10,0,Software Engineer,Security,Senior,Permanent,Remote,2,6,13.9,Large,Nairobi,1078893
53,Male,Married,high school ,6.052548532723007,2,0,Software Engineer,Engineering,Senior,Permanent,Onsite,3,3,7.3,Large,Kigali,1003597
40,Female,Single,PhD,12.874588058156215,9,0,Data Scientist,IT,Mid,Permanent,Onsite,3,1,20.6,Medium,Johannesburg,1250341
36,Male,Married,MSc,3.3788599116933966,5,2,Data Analyst,Security,Junior,Contract,Remote,5,2,0,Small,Johannesburg,517886
54,Male,Single,high school ,,1,4,Data Analyst,Security,Junior,Permanent,Remote,3,2,9.5,Large,Lagos,693339
22,Male,Divorced,High School,13.001027964050106,8,4,Product Manager,Operations,Mid,Permanent,Hybrid,5,6,2.3,Large,Nairobi,1445858
55,Male,Single,PhD,5.098580946702993,3,4,Product Manager,Operations,Junior,Permanent,Onsite,1,4,8.7,Medium,Nairobi,784588
48,Female,Married,high school ,6.937046471325249,9,0,DevOps Engineer,Engineering,Mid,Permanent,Hybrid,2,5,7.9,Medium,Nairobi,1087162
59,Male,Single,BSc,10.15311987652431,9,0,Data Scientist,Engineering,Mid,Permanent,Remote,3,7,15.8,Small,Lagos,1051429
26,Female,Married,Master,9.092691059956596,6,5,IT Support,Product,Senior,Permanent,Remote,1,6,1,Medium,Lagos,1088011
29,Male,Single,High School,10.002049678447476,4,2,Data Analyst,Data,Junior,Permanent,Hybrid,3,6,23.6,Small,Lagos,635100
40,Male,Married,high school ,10.601715958181696,9,0,IT Support,Product,Junior,Permanent,Hybrid,5,10,9.1,Medium,Johannesburg,703757
21,Male,Divorced,bachelor ,0.015541469642181838,9,2,Product Manager,Security,Senior,Contract,Hybrid,1,10,12.3,Large,Lagos,1366988
28,Female,Married,high school ,1.3426090394399228,2,4,Data Analyst,Data,Junior,Permanent,Remote,3,5,0.5,Medium,Lagos,524884
43,Male,Married,Master,11.684678650515364,10,2,IT Support,Engineering,Senior,Permanent,Onsite,1,7,7.3,Large,Kigali,1418640
23,Female,Single,bachelor ,3.873043427633253,6,1,Data Scientist,IT,Mid,Contract,Remote,1,5,9,Large,Lagos,966517
24,Male,Single,Bachelor,4.309416620145763,4,3,IT Support,Data,Junior,Contract,Hybrid,2,5,10.9,Large,Nairobi,806325
45,Male,Married,Master,1.948629911342728,3,0,Product Manager,Data,Junior,Permanent,Remote,2,3,16.3,Large,Johannesburg,405003
58,Female,Single,ph.d,5.380208442610072,10,4,Data Analyst,Engineering,Mid,Permanent,Hybrid,1,7,7.3,Medium,Lagos,956791
35,Female,Married,PhD,5.602735745262116,6,3,Data Analyst,Operations,Junior,Permanent,Remote,3,7,9.9,Small,Nairobi,774857
41,Male,Married,high school ,3.2501572492593698,8,5,Data Analyst,Product,Senior,Permanent,Onsite,1,5,10.6,Medium,Nairobi,1035838
55,Female,Single,Bachelor,2.787669020497022,9,3,Data Scientist,IT,Senior,Contract,Onsite,3,7,8.1,Medium,Kigali,1123967
34,Other,Single,high school ,8.274652368702824,9,4,Data Analyst,Security,Mid,Permanent,Hybrid,5,3,0,Medium,Lagos,1095133
56,Other,Single,MSc,3.769322932446283,2,5,IT Support,Data,Senior,Permanent,Onsite,4,0,19.8,Large,Nairobi,912431
32,Female,Single,ph.d,4.574750972086954,8,3,Software Engineer,Operations,Junior,Permanent,Remote,3,4,11.2,Small,Kigali,4048684
37,Female,Married,High School,,8,2,DevOps Engineer,Engineering,Senior,Permanent,Hybrid,2,4,21.5,Large,Nairobi,1171764
59,Male,Married,Bachelor,14.752800970124099,5,4,DevOps Engineer,Data,Senior,Permanent,Onsite,3,6,10,Small,Johannesburg,1701218
29,Female,Single,Master,10.767296117898802,4,4,Software Engineer,Operations,Mid,Permanent,Hybrid,4,5,11,Medium,Kigali,1201948
55,Male,Single,bachelor ,5.020775786692232,9,5,DevOps Engineer,Security,Junior,Contract,Hybrid,1,5,3.8,Medium,Johannesburg,1039576
33,Female,Married,High School,3.403676257369119,4,2,Data Scientist,Product,Mid,Permanent,Remote,5,9,17,Medium,Kigali,907370
35,Male,Single,ph.d,7.043555188932499,10,1,IT Support,Engineering,Senior,Contract,Remote,5,6,0.7,Large,Johannesburg,1142297
38,Male,Single,MSc,6.933865641609383,4,1,DevOps Engineer,Operations,Junior,Permanent,Hybrid,4,2,9.8,Small,Johannesburg,859851
53,Female,Single,MSc,1.8961337219414114,3,3,Data Scientist,Operations,Junior,Contract,Hybrid,5,4,10.3,Small,Nairobi,625296
26,Male,Married,High School,,10,4,Software Engineer,Data,Mid,Permanent,Hybrid,3,2,3.2,Medium,Johannesburg,820919
47,Male,Single,ph.d,4.895696369933324,3,2,DevOps Engineer,Security,Mid,Permanent,Hybrid,1,6,12.7,Medium,Nairobi,986460
43,Female,Single,PhD,0.7465018764019469,3,5,Data Analyst,Security,Junior,Permanent,Onsite,3,5,12.6,Large,Kigali,567769
47,Female,Divorced,BSc,7.685519786894167,7,4,Software Engineer,Product,Senior,Permanent,Remote,4,6,10.7,Medium,Johannesburg,1214512
54,Female,Single,bachelor ,7.712326266642698,5,5,Software Engineer,Security,Senior,Permanent,Remote,2,3,10.6,Medium,Kigali,1386513
58,Male,Married,High School,3.1071492066323665,9,5,Software Engineer,Engineering,Junior,Contract,Hybrid,5,8,11.2,Small,Lagos,943822
34,Female,Single,ph.d,4.861662929378188,2,2,Data Scientist,Engineering,Senior,Permanent,Onsite,4,5,8.2,Large,Johannesburg,985738
56,Male,Single,PhD,14.052166767912334,4,1,Product Manager,Product,Junior,Permanent,Hybrid,1,7,9,Medium,Kigali,1072826
28,Male,Single,high school ,10.10051410508385,2,1,Data Scientist,IT,Junior,Contract,Remote,2,4,9.1,Large,Lagos,1028729
55,Female,Single,bachelor ,5.190988917164384,8,3,Product Manager,Data,Junior,Permanent,Onsite,1,4,10.1,Large,Lagos,898381
39,Female,Single,bachelor ,16.167837307743916,4,5,Data Scientist,Operations,Mid,Permanent,Onsite,3,7,7.4,Small,Johannesburg,1233629
50,Male,Single,MSc,2.212250352113421,1,5,DevOps Engineer,Data,Senior,Permanent,Hybrid,2,3,11.1,Large,Lagos,886479
34,Male,Single,Bachelor,3.749221100733781,10,2,DevOps Engineer,Product,Junior,Permanent,Remote,5,7,5.7,Large,Kigali,891492
40,Male,Single,PhD,6.5579433171682915,3,5,DevOps Engineer,Operations,Mid,Permanent,Onsite,2,8,9.8,Small,Nairobi,1237029
45,Male,Married,MSc,0.8759717384947381,7,1,Software Engineer,IT,Junior,Permanent,Onsite,3,8,7.9,Large,Lagos,694388
44,Male,Married,bachelor ,14.161236658511386,3,0,Data Analyst,Security,Junior,Permanent,Remote,5,1,16.2,Medium,Lagos,894595
34,Female,Married,ph.d,7.732608154837123,5,1,IT Support,Product,Senior,Permanent,Onsite,3,6,13.2,Medium,Kigali,1178933
46,Female,Married,Master,3.8402045724008214,2,4,Product Manager,Data,Mid,Permanent,Onsite,3,5,12.3,Medium,Kigali,866375
58,Female,Married,Bachelor,8.791147805619046,8,5,Data Scientist,Operations,Mid,Contract,Hybrid,5,1,11.7,Medium,Lagos,1198311
43,Male,Single,MSc,7.584223393191565,4,5,DevOps Engineer,Engineering,Mid,Permanent,Onsite,5,6,10.1,Medium,Nairobi,1139942
42,Female,Single,Master,5.781395663496614,1,5,Data Analyst,Operations,Junior,Permanent,Onsite,3,8,5.8,Medium,Kigali,666891
39,Male,Single,PhD,2.1659393327140792,4,2,IT Support,Operations,Junior,Permanent,Remote,3,7,13.2,Large,Nairobi,490386
23,Male,Married,BSc,1.2551522978835719,8,5,Data Analyst,Product,Junior,Permanent,Remote,5,4,15.8,Small,Kigali,771846
39,Male,Married,Master,15.747203989772906,9,0,DevOps Engineer,IT,Senior,Permanent,Remote,3,3,6,Large,Nairobi,1656494
29,Female,Married,High School,1.5890604595600113,1,5,Product Manager,Operations,Mid,Permanent,Onsite,1,5,16.8,Medium,Lagos,649651
48,Female,Single,PhD,13.791862077405503,6,1,Product Manager,Security,Mid,Permanent,Onsite,1,3,12,Large,Johannesburg,1186010
40,Male,Married,High School,3.620963409536177,4,1,IT Support,Operations,Mid,Permanent,Hybrid,1,9,11,Large,Kigali,775434
27,Male,Single,Bachelor,10.16013027016129,8,2,IT Support,IT,Senior,Permanent,Remote,1,7,3,Large,Nairobi,1384076
34,Male,Single,high school ,8.861732360323119,1,0,DevOps Engineer,IT,Junior,Permanent,Hybrid,3,4,7.1,Large,Kigali,803621
29,Female,Married,Master,9.661674801185667,5,2,DevOps Engineer,Security,Junior,Permanent,Remote,3,4,15.1,Small,Johannesburg,883633
39,Male,Single,PhD,9.928057088960761,1,1,Product Manager,Operations,Junior,Permanent,Remote,2,6,8.3,Medium,Nairobi,754259
34,Male,Single,PhD,0.5537375106499569,4,3,Product Manager,Engineering,Senior,Permanent,Hybrid,2,5,11.4,Large,Kigali,911111
58,Female,Married,MSc,4.294616030103292,2,2,Software Engineer,Engineering,Senior,Permanent,Remote,2,6,10.1,Small,Nairobi,927976
56,Male,Married,MSc,1.5278081631291434,10,5,IT Support,Engineering,Mid,Permanent,Remote,2,1,9.1,Medium,Kigali,755062
37,Male,Single,PhD,7.7572042433903885,9,1,IT Support,Product,Junior,Permanent,Remote,3,7,11.3,Small,Johannesburg,742575
50,Male,Single,BSc,1.7066226715030952,2,2,Product Manager,Product,Junior,Contract,Onsite,2,10,6.8,Medium,Nairobi,522776
29,Female,Divorced,Bachelor,,4,1,Data Scientist,Engineering,Junior,Permanent,Remote,3,5,18.3,Medium,Nairobi,662958
53,Male,Single,high school ,6.050090653825702,3,2,Software Engineer,Engineering,Senior,Permanent,Onsite,1,5,10,Large,Lagos,1082822
45,Female,Single,Bachelor,,1,1,Data Scientist,Engineering,Senior,Contract,Remote,3,3,2.3,Small,Lagos,933935
34,Female,Single,Bachelor,8.034952778883827,1,0,Product Manager,IT,Mid,Contract,Remote,2,3,2.8,Medium,Lagos,836950
31,Male,Married,MSc,1.969481906489034,2,4,Software Engineer,Data,Junior,Contract,Onsite,3,4,9.3,Medium,Kigali,662041
55,Male,Single,High School,3.6376810076790886,8,4,Software Engineer,Product,Senior,Contract,Hybrid,3,5,5.9,Small,Nairobi,1174467
34,Male,Single,MSc,,2,2,Product Manager,Product,Mid,Permanent,Onsite,5,6,20.1,Large,Lagos,866306
50,Male,Single,Master,13.600408855234184,1,5,DevOps Engineer,Product,Junior,Permanent,Onsite,2,4,15.4,Large,Johannesburg,1247451
24,Female,Single,high school ,1.1483404520876848,6,1,Data Analyst,Data,Junior,Permanent,Onsite,4,3,7.7,Medium,Kigali,530670
24,Female,Single,High School,5.54399506180842,1,4,Data Analyst,Operations,Mid,Permanent,Onsite,4,8,18.3,Large,Johannesburg,821485
48,Male,Married,ph.d,,10,4,IT Support,Product,Senior,Permanent,Hybrid,3,8,10.6,Small,Lagos,1137376
28,Male,Married,high school ,3.657328766476911,9,2,Product Manager,Operations,Mid,Permanent,Onsite,5,3,6.9,Medium,Johannesburg,1097230
22,Male,Married,bachelor ,14.007287124096841,6,5,DevOps Engineer,IT,Junior,Permanent,Hybrid,3,6,0,Medium,Johannesburg,1044429
42,Male,Married,ph.d,8.189906941061391,10,2,Product Manager,Engineering,Junior,Permanent,Remote,2,6,12.6,Large,Nairobi,888746
36,Female,Married,ph.d,4.105476014757682,6,2,DevOps Engineer,Engineering,Junior,Permanent,Onsite,1,5,16.5,Large,Lagos,870825
49,Male,Married,High School,6.863306081378147,1,3,Data Scientist,IT,Senior,Permanent,Remote,3,2,8.7,Small,Nairobi,1250494
50,Female,Married,high school ,4.757763773253554,7,0,Product Manager,Engineering,Junior,Permanent,Remote,4,4,5.9,Large,Nairobi,804358
32,Male,Married,high school ,6.630317680689653,3,0,Data Analyst,IT,Junior,Permanent,Hybrid,3,3,15.4,Small,Lagos,776751
55,Female,Single,high school ,9.975474876131845,1,0,DevOps Engineer,Engineering,Mid,Permanent,Remote,2,9,14.5,Medium,Kigali,823817
31,Female,Single,PhD,5.675608040371843,9,1,Product Manager,IT,Junior,Permanent,Onsite,2,6,9.9,Small,Nairobi,698701
41,Male,Divorced,PhD,7.879965895700418,8,1,Data Scientist,IT,Junior,Permanent,Hybrid,4,3,3.6,Small,Johannesburg,966645
41,Male,Divorced,PhD,7.945981990593021,4,0,IT Support,Engineering,Mid,Permanent,Onsite,4,5,4.4,Large,Lagos,874057
25,Male,Married,bachelor ,5.695417410809027,3,2,DevOps Engineer,Operations,Senior,Permanent,Remote,5,2,11.2,Large,Nairobi,1180465
40,Male,Divorced,PhD,4.0562960413197775,2,3,Software Engineer,Product,Junior,Permanent,Remote,5,3,5,Large,Kigali,725404
57,Female,Married,MSc,4.899266573582157,2,0,DevOps Engineer,Product,Senior,Permanent,Onsite,1,15,14.5,Medium,Kigali,1005442
23,Female,Married,PhD,9.796741006140307,3,5,IT Support,Data,Mid,Permanent,Remote,4,7,3.5,Large,Nairobi,768322
53,Female,Single,High School,10.129666819901802,1,2,Data Scientist,Security,Senior,Permanent,Onsite,5,4,11.5,Small,Johannesburg,1310606
29,Female,Married,Bachelor,2.4488226749261157,10,4,Product Manager,Security,Mid,Permanent,Remote,4,5,2.9,Small,Lagos,1000241
29,Male,Married,Master,5.956042662447966,7,3,Data Analyst,Data,Mid,Permanent,Onsite,3,6,13.3,Small,Nairobi,912166
24,Female,Divorced,High School,3.9883125235906607,2,1,DevOps Engineer,Engineering,Senior,Permanent,Remote,5,6,9,Medium,Lagos,1209993
55,Other,Single,bachelor ,10.199809718864564,6,4,Product Manager,Product,Mid,Permanent,Hybrid,4,5,8.7,Large,Lagos,1195994
37,Male,Married,ph.d,5.115187840880396,6,4,DevOps Engineer,Security,Junior,Contract,Hybrid,4,7,9.9,Medium,Nairobi,847193
54,Male,Married,MSc,15.803695270285472,4,5,Software Engineer,Data,Mid,Contract,Remote,3,5,10,Medium,Nairobi,1243196
44,Male,Single,High School,7.8715895595882115,4,5,Data Analyst,Product,Junior,Permanent,Onsite,4,3,19.4,Small,Kigali,868256
52,Male,Single,Master,11.727985816892888,1,5,IT Support,IT,Junior,Contract,Onsite,5,2,6.7,Large,Johannesburg,810208
21,Male,Married,Master,2.941556692786536,6,4,DevOps Engineer,Operations,Senior,Permanent,Onsite,5,7,13.1,Small,Nairobi,1219099
28,Female,Single,high school ,7.046888596343463,8,2,Data Scientist,IT,Mid,Permanent,Onsite,1,2,2.9,Medium,Kigali,1312383
43,Female,Married,Master,9.464692393480895,10,0,IT Support,Data,Junior,Permanent,Remote,1,6,16.4,Small,Nairobi,918023
32,Male,Single,high school ,2.866799032712799,4,4,Software Engineer,Data,Junior,Permanent,Remote,5,6,4.7,Small,Johannesburg,457205
32,Male,Single,PhD,7.081370847242309,1,0,DevOps Engineer,Engineering,Mid,Permanent,Hybrid,1,9,14.8,Large,Lagos,746775
35,Female,Single,MSc,11.207436128802145,4,4,Software Engineer,Operations,Junior,Permanent,Remote,1,5,10.3,Medium,Nairobi,965319
39,Female,Single,Master,5.690199968306057,2,2,Product Manager,Security,Junior,Permanent,Hybrid,3,4,3.6,Medium,Kigali,903308
46,Male,Single,Master,3.5929899817094992,4,0,Product Manager,Operations,Junior,Contract,Remote,2,6,21.7,Small,Kigali,422823
49,Female,Divorced,ph.d,14.211837821890072,8,1,DevOps Engineer,Product,Mid,Permanent,Remote,1,7,5.8,Medium,Kigali,1449101
42,Female,Single,ph.d,2.3130187934148054,3,3,Product Manager,Engineering,Mid,Permanent,Remote,2,6,12.1,Small,Johannesburg,993325
41,Female,Married,high school ,7.62356251352635,5,4,Software Engineer,Operations,Junior,Permanent,Hybrid,1,5,13.1,Large,Johannesburg,991562
58,Male,Divorced,Bachelor,4.166894646652773,10,4,Data Analyst,Data,Senior,Contract,Hybrid,2,11,7.2,Small,Kigali,1193944
40,Male,Married,MSc,3.2526630445697915,2,2,DevOps Engineer,IT,Senior,Contract,Remote,4,2,9.2,Medium,Johannesburg,997147
49,Female,Single,ph.d,9.966628330813037,9,3,IT Support,IT,Mid,Permanent,Remote,2,6,9.5,Large,Nairobi,776065
24,Male,Married,Master,6.177856353349848,3,5,IT Support,Security,Junior,Permanent,Onsite,2,4,6.8,Large,Kigali,684443
27,Female,Single,High School,8.62354586167879,1,0,Data Scientist,Operations,Mid,Permanent,Hybrid,4,7,5.7,Medium,Nairobi,959221
48,Male,Single,MSc,,7,4,Data Scientist,IT,Senior,Permanent,Hybrid,4,7,12.6,Medium,Kigali,1238990
48,Male,Married,High School,9.012479127848241,5,1,Data Analyst,Data,Junior,Contract,Remote,1,4,20.5,Large,Kigali,562507
24,Male,Single,BSc,4.117616352734667,9,5,Product Manager,Product,Mid,Permanent,Hybrid,1,6,10.2,Medium,Kigali,1102208
42,Male,Divorced,ph.d,,3,5,Product Manager,Data,Mid,Permanent,Remote,2,6,11.9,Large,Kigali,990886
32,Female,Married,ph.d,14.538958219148704,1,1,Data Analyst,Operations,Senior,Permanent,Onsite,5,2,7.6,Medium,Nairobi,1271362
23,Male,Single,High School,9.404054105978508,7,2,IT Support,Security,Junior,Permanent,Remote,2,6,18,Small,Johannesburg,831197
42,Female,Single,Master,7.909109650718392,8,5,Product Manager,Data,Junior,Permanent,Remote,5,3,14.9,Large,Nairobi,838173
22,Female,Married,Bachelor,11.997675398959462,2,4,IT Support,Data,Junior,Permanent,Onsite,4,3,10.8,Medium,Lagos,841496
44,Male,Married,ph.d,7.990277125554144,2,2,Software Engineer,IT,Senior,Permanent,Remote,2,3,17.9,Medium,Lagos,938393
54,Female,Married,Bachelor,3.8055439594255756,9,3,DevOps Engineer,Security,Junior,Permanent,Hybrid,1,2,12.7,Large,Nairobi,957010
47,Male,Single,high school ,6.300129558070491,4,1,Data Scientist,Product,Senior,Permanent,Remote,3,5,8.2,Large,Kigali,1202319
21,Female,Single,PhD,4.28653514723179,1,1,Product Manager,Security,Senior,Permanent,Hybrid,1,5,14.9,Small,Lagos,886132
28,Female,Single,Bachelor,4.9985884287011615,9,2,Data Scientist,Engineering,Senior,Permanent,Onsite,3,5,7.7,Medium,Johannesburg,1119350
43,Male,Single,BSc,1.9691853365630347,9,3,Data Analyst,Operations,Mid,Permanent,Hybrid,5,5,14.4,Medium,Johannesburg,752091
58,Male,Single,Master,3.119917696798722,6,5,DevOps Engineer,Operations,Senior,Permanent,Remote,1,2,22.3,Small,Johannesburg,1161226
26,Female,Single,High School,10.5783421306747,6,0,Software Engineer,Data,Mid,Permanent,Onsite,2,9,6.5,Small,Johannesburg,1279450
42,Female,Single,MSc,8.32830175521299,9,3,Product Manager,IT,Senior,Permanent,Onsite,3,2,11.6,Small,Kigali,1338578
45,Male,Married,MSc,4.9879477898739655,2,2,Product Manager,IT,Junior,Permanent,Hybrid,4,5,19.2,Small,Kigali,947213
38,Female,Married,BSc,2.887872542147459,9,5,IT Support,Operations,Senior,Permanent,Hybrid,2,6,9.5,Large,Nairobi,1040670
37,Male,Single,ph.d,5.378412084768268,4,5,Data Scientist,Security,Mid,Permanent,Hybrid,1,6,12.2,Small,Lagos,1003699
32,Female,Married,high school ,0.26460078813172494,4,5,Software Engineer,Engineering,Mid,Permanent,Onsite,4,7,10.3,Large,Nairobi,784215
26,Male,Married,BSc,7.5065223976974105,9,2,DevOps Engineer,Engineering,Mid,Permanent,Hybrid,4,3,11.8,Large,Nairobi,1012371
46,Female,Married,high school ,10.781885927970258,7,3,IT Support,Product,Junior,Permanent,Remote,4,6,8.7,Small,Lagos,716975
47,Male,Married,high school ,16.467890640236092,10,2,DevOps Engineer,Data,Junior,Permanent,Onsite,4,6,8.9,Large,Lagos,1415901
28,Female,Single,ph.d,2.5869651097435264,5,1,Software Engineer,Operations,Mid,Permanent,Remote,2,5,5.9,Large,Kigali,731715
39,Female,Single,MSc,10.615209783802436,8,2,Software Engineer,Security,Junior,Permanent,Hybrid,5,3,17.8,Small,Lagos,1026562
21,Female,Single,bachelor ,4.171154217208497,1,0,Data Analyst,Engineering,Junior,Permanent,Hybrid,4,2,2.5,Medium,Nairobi,434640
49,Female,Single,PhD,2.48617483979595,7,1,Data Analyst,Engineering,Senior,Permanent,Hybrid,5,4,6.4,Medium,Nairobi,999435
55,Male,Married,bachelor ,2.484407484576093,4,4,IT Support,IT,Junior,Permanent,Hybrid,5,7,12.2,Medium,Kigali,461445
34,Female,Married,High School,7.562942905707867,2,1,IT Support,Product,Junior,Permanent,Onsite,1,8,8.1,Large,Johannesburg,701081
55,Female,Single,Bachelor,3.276825505226922,2,1,DevOps Engineer,Operations,Junior,Permanent,Remote,2,10,20.3,Medium,Johannesburg,557532
40,Female,Married,High School,4.57261691482606,9,1,IT Support,Product,Mid,Contract,Hybrid,4,9,8.9,Large,Nairobi,923434
33,Male,Married,high school ,5.238394677050953,6,5,Software Engineer,Engineering,Senior,Permanent,Hybrid,3,7,13.2,Medium,Johannesburg,1212118
58,Male,Single,high school ,4.040128640404357,4,3,Product Manager,Product,Junior,Contract,Onsite,1,8,11.3,Large,Kigali,444602
28,Male,Married,MSc,3.7496617892034165,2,4,Data Analyst,Engineering,Mid,Contract,Hybrid,2,3,10.1,Small,Kigali,659693
40,Male,Single,bachelor ,,7,0,DevOps Engineer,Security,Junior,Contract,Onsite,2,7,3.1,Large,Nairobi,689747
53,Male,Married,ph.d,7.347813160447476,9,1,DevOps Engineer,IT,Senior,Permanent,Remote,5,3,11.1,Medium,Lagos,1247294
46,Female,Single,high school ,7.270685958233807,2,3,DevOps Engineer,Security,Mid,Contract,Remote,1,4,10,Small,Johannesburg,1002598
59,Female,Single,ph.d,3.810620601057953,4,2,Product Manager,Data,Senior,Contract,Onsite,2,4,19.5,Medium,Lagos,1012605
41,Other,Married,Master,8.441537081553484,1,4,Data Scientist,Operations,Senior,Permanent,Remote,1,4,13.7,Large,Lagos,1105213
29,Male,Married,PhD,12.587630128262745,1,5,Data Analyst,Data,Senior,Contract,Hybrid,2,5,0,Small,Johannesburg,1255181
44,Male,Single,MSc,7.094319331337135,3,0,DevOps Engineer,Product,Senior,Contract,Remote,5,3,10.3,Small,Johannesburg,1000759
57,Female,Married,PhD,12.321031116624912,1,4,Data Scientist,Engineering,Mid,Permanent,Onsite,4,4,11.1,Medium,Nairobi,954886
37,Male,Married,ph.d,15.95252768170848,4,0,Data Scientist,Data,Mid,Permanent,Remote,4,6,18.7,Small,Johannesburg,1181191
44,Male,Single,PhD,17.122098756481094,6,0,IT Support,IT,Junior,Permanent,Remote,2,6,5,Medium,Lagos,1041112
41,Female,Single,Master,2.247055653959996,5,2,DevOps Engineer,Security,Junior,Permanent,Remote,2,7,5,Large,Nairobi,653377
59,Male,Single,PhD,2.267747974325319,9,0,Software Engineer,Product,Mid,Permanent,Onsite,1,6,11.1,Large,Lagos,841336
59,Male,Single,PhD,5.222280013097155,2,2,Product Manager,Product,Mid,Permanent,Remote,5,2,8.5,Small,Kigali,947055
33,Female,Married,high school ,7.514860805039363,2,1,DevOps Engineer,Data,Junior,Permanent,Remote,1,7,9.8,Medium,Nairobi,818093
31,Male,Married,high school ,13.346607999374323,3,4,Data Scientist,Product,Junior,Permanent,Hybrid,1,6,17.8,Large,Johannesburg,1047498
39,Female,Married,High School,9.50896488436382,4,0,DevOps Engineer,Operations,Mid,Permanent,Remote,3,4,11,Medium,Nairobi,1168629
31,Male,Divorced,high school ,2.1868514813100006,9,2,IT Support,Data,Junior,Permanent,Hybrid,3,5,5.3,Small,Kigali,534760
33,Female,Single,MSc,4.553370366102687,6,1,Software Engineer,Data,Mid,Permanent,Remote,4,6,7.6,Small,Kigali,805146
21,Male,Single,Bachelor,6.831999168137942,9,4,Data Analyst,Security,Mid,Permanent,Remote,5,4,2.2,Small,Nairobi,1053835
39,Female,Married,bachelor ,1.0433600874180193,5,1,Data Scientist,IT,Senior,Permanent,Onsite,5,8,1.7,Medium,Kigali,839007
